hhld_inc_binary,hhld_inc_num,q7,q11,q13,q56,lost_all_savings_q8,changed_employers_q12c,age_oldest
"<$50,000 per year",20000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,63
"<$50,000 per year",13000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,43
"$50,000+ per year",128000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,Yes,54
"<$50,000 per year",19000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,79
"<$50,000 per year",40500,One or more,Not employed at this time,NA,No,Yes,NA,35
"$50,000+ per year",126000,None,Not employed at this time,NA,Yes,No,NA,43
"$50,000+ per year",78000,One or more,Not employed at this time,NA,Yes,Yes,NA,44
"<$50,000 per year",39000,None,Not employed at this time,NA,No,No,NA,39
"$50,000+ per year",86000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,19
"$50,000+ per year",65000,One or more,Employed part-time,Do all of your work from home,No,Yes,No,46
"<$50,000 per year",39000,One or more,Not employed at this time,NA,No,No,NA,35
"$50,000+ per year",63000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,47
"$50,000+ per year",61000,None,Employed full time,Do all of your work from home,Yes,No,No,36
"$50,000+ per year",101000,One or more,Not employed at this time,NA,No,No,NA,61
"$50,000+ per year",100000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,67
"<$50,000 per year",46500,One or more,Not employed at this time,NA,No,Yes,NA,63
"<$50,000 per year",21500,One or more,Not employed at this time,NA,No,No,NA,27
"$50,000+ per year",95000,None,Not employed at this time,NA,No,No,NA,23
"<$50,000 per year",39500,One or more,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,No,39
"<$50,000 per year",6500,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,67
"<$50,000 per year",28000,None,Employed full time,Do all of your work from home,Yes,No,No,39
"$50,000+ per year",147000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,59
"$50,000+ per year",116000,None,Not employed at this time,NA,No,No,NA,58
"$50,000+ per year",79000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,60
"$50,000+ per year",54000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,50
"$50,000+ per year",208000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,32
"$50,000+ per year",132000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,50
"<$50,000 per year",12000,One or more,Not employed at this time,NA,No,No,NA,35
"$50,000+ per year",138000,None,Not employed at this time,NA,No,No,NA,69
"<$50,000 per year",3000,None,Not employed at this time,NA,No,No,NA,53
"$50,000+ per year",122000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,70
"$50,000+ per year",95000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,36
"$50,000+ per year",221000,None,Employed full time,Do all of your work from home,Yes,No,No,57
"$50,000+ per year",148000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,35
"$50,000+ per year",55000,One or more,Not employed at this time,NA,Yes,Yes,NA,66
"$50,000+ per year",94000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,26
"$50,000+ per year",117000,None,Not employed at this time,NA,Yes,No,NA,22
"$50,000+ per year",59000,One or more,Not employed at this time,NA,No,No,NA,63
"<$50,000 per year",22000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,37
"$50,000+ per year",109000,None,Employed full time,Do all of your work from home,No,No,Yes,55
"$50,000+ per year",64000,One or more,Employed part-time,Do all of your work from home,No,Yes,No,42
"$50,000+ per year",134000,One or more,Not employed at this time,NA,Yes,Yes,NA,22
"<$50,000 per year",34000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,No,51
"<$50,000 per year",21000,One or more,Not employed at this time,NA,Yes,No,NA,29
"$50,000+ per year",99000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,33
"<$50,000 per year",44000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,40
"<$50,000 per year",21000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,75
"$50,000+ per year",111000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,65
"$50,000+ per year",150000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,Yes,57
"$50,000+ per year",196000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,60
"$50,000+ per year",238000,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,34
"<$50,000 per year",39500,None,Employed part-time,Do all of your work from home,No,No,Yes,20
"$50,000+ per year",130000,One or more,Not employed at this time,NA,Yes,Yes,NA,56
"$50,000+ per year",102000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,28
"$50,000+ per year",147000,None,Not employed at this time,NA,Yes,No,NA,40
"<$50,000 per year",49500,None,Not employed at this time,NA,Yes,No,NA,52
"<$50,000 per year",35000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,31
"$50,000+ per year",107000,None,Not employed at this time,NA,Yes,No,NA,32
"<$50,000 per year",27500,One or more,Employed full time,Do all of your work from home,Yes,No,Yes,49
"$50,000+ per year",140000,None,Employed part-time,Do all of your work from home,Yes,No,No,50
"$50,000+ per year",188000,None,Not employed at this time,NA,No,No,NA,40
"$50,000+ per year",168000,None,Not employed at this time,NA,Yes,No,NA,28
"<$50,000 per year",44000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,29
"$50,000+ per year",93000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,66
"<$50,000 per year",500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,47
"<$50,000 per year",15000,None,Not employed at this time,NA,Yes,No,NA,50
"<$50,000 per year",19000,None,Not employed at this time,NA,No,No,NA,42
"<$50,000 per year",10500,One or more,Not employed at this time,NA,No,Yes,NA,64
"<$50,000 per year",7500,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,49
"<$50,000 per year",9000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,36
"$50,000+ per year",64000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,66
"<$50,000 per year",8500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,29
"$50,000+ per year",159000,None,Not employed at this time,NA,Yes,No,NA,25
"$50,000+ per year",229000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,68
"$50,000+ per year",112000,None,Not employed at this time,NA,Yes,No,NA,30
"<$50,000 per year",14000,One or more,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,Yes,No,53
"$50,000+ per year",207000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,70
"<$50,000 per year",0,One or more,Not employed at this time,NA,No,No,NA,19
"<$50,000 per year",500,One or more,Employed full time,Do all of your work from home,No,Yes,No,65
"$50,000+ per year",55000,One or more,Employed full time,Do all of your work from home,No,Yes,No,31
"$50,000+ per year",124000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,Yes,No,33
"$50,000+ per year",93000,One or more,Not employed at this time,NA,No,Yes,NA,58
"<$50,000 per year",16500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,55
"<$50,000 per year",2500,One or more,Not employed at this time,NA,No,No,NA,46
"$50,000+ per year",93000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,70
"<$50,000 per year",47500,One or more,Employed full time,Do all of your work from home,No,Yes,No,44
"$50,000+ per year",99000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,Yes,No,65
"<$50,000 per year",44000,None,Not employed at this time,NA,Yes,No,NA,22
"$50,000+ per year",117000,None,Not employed at this time,NA,No,No,NA,25
"<$50,000 per year",49000,One or more,Not employed at this time,NA,Yes,Yes,NA,45
"$50,000+ per year",133000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,59
"$50,000+ per year",156000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,54
"$50,000+ per year",76000,None,Not employed at this time,NA,No,No,NA,70
"$50,000+ per year",66000,One or more,Not employed at this time,NA,No,No,NA,29
"$50,000+ per year",57000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,54
"<$50,000 per year",37000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,32
"<$50,000 per year",24500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,52
"$50,000+ per year",73000,None,Not employed at this time,NA,Yes,No,NA,42
"<$50,000 per year",42000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,43
"$50,000+ per year",149000,None,Employed full time,Do all of your work from home,Yes,No,No,48
"<$50,000 per year",47000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,34
"<$50,000 per year",32000,One or more,Not employed at this time,NA,Yes,Yes,NA,41
"$50,000+ per year",174000,None,Employed full time,Do all of your work from home,Yes,No,No,57
"$50,000+ per year",108000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,57
"<$50,000 per year",13000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,37
"$50,000+ per year",128000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,50
"$50,000+ per year",134000,One or more,Not employed at this time,NA,No,Yes,NA,63
"$50,000+ per year",82000,None,Not employed at this time,NA,No,No,NA,56
"$50,000+ per year",59000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,55
"<$50,000 per year",26500,None,Not employed at this time,NA,No,No,NA,47
"$50,000+ per year",136000,None,Not employed at this time,NA,No,No,NA,41
"<$50,000 per year",29500,None,Not employed at this time,NA,Yes,No,NA,55
"$50,000+ per year",56000,None,Not employed at this time,NA,Yes,No,NA,32
"<$50,000 per year",2000,None,Employed full time,Do all of your work from home,No,No,No,18
"<$50,000 per year",48000,One or more,Not employed at this time,NA,Yes,Yes,NA,47
"$50,000+ per year",104000,One or more,Not employed at this time,NA,No,No,NA,44
"<$50,000 per year",35000,None,Not employed at this time,NA,No,No,NA,41
"<$50,000 per year",8000,One or more,Not employed at this time,NA,No,Yes,NA,59
"<$50,000 per year",3000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,Yes,No,22
"$50,000+ per year",177000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,36
"<$50,000 per year",7500,One or more,Not employed at this time,NA,Yes,Yes,NA,70
"$50,000+ per year",68000,None,Employed full time,Do all of your work from home,No,No,No,18
"$50,000+ per year",70000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,66
"<$50,000 per year",22000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,25
"$50,000+ per year",147000,None,Not employed at this time,NA,Yes,No,NA,34
"<$50,000 per year",16500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,53
